h,action,n,with_tokens
2026-07-10 20:00:00+00,hold,10,2
2026-07-10 21:00:00+00,flat,2,2
2026-07-10 21:00:00+00,hold,16,4
2026-07-10 21:00:00+00,long,2,2
2026-07-10 22:00:00+00,hold,18,10
2026-07-10 22:00:00+00,long,2,2
2026-07-10 23:00:00+00,flat,1,1
2026-07-10 23:00:00+00,hold,8,2
2026-07-10 23:00:00+00,long,1,1
2026-07-11 00:00:00+00,flat,1,1
2026-07-11 00:00:00+00,hold,13,8
2026-07-11 00:00:00+00,long,1,1
2026-07-11 01:00:00+00,flat,1,1
2026-07-11 01:00:00+00,hold,17,10
2026-07-11 01:00:00+00,long,2,2
2026-07-11 02:00:00+00,hold,20,6
2026-07-11 03:00:00+00,hold,19,1
2026-07-11 03:00:00+00,long,1,1
2026-07-11 04:00:00+00,hold,18,0
2026-07-11 04:00:00+00,long,2,2
2026-07-11 05:00:00+00,hold,18,0
2026-07-11 05:00:00+00,long,2,2
2026-07-11 06:00:00+00,hold,20,3
2026-07-11 07:00:00+00,hold,19,4
2026-07-11 07:00:00+00,long,1,1
2026-07-11 08:00:00+00,hold,19,11
2026-07-11 08:00:00+00,long,1,1
2026-07-11 14:00:00+00,error,4,0
2026-07-11 14:00:00+00,hold,1,0
2026-07-11 16:00:00+00,error,3,0
2026-07-11 16:00:00+00,hold,4,0
2026-07-11 18:00:00+00,error,4,0
2026-07-11 18:00:00+00,hold,2,0
2026-07-11 19:00:00+00,error,1,0
2026-07-11 19:00:00+00,hold,3,0
2026-07-11 20:00:00+00,error,2,0
2026-07-11 20:00:00+00,flat,1,1
2026-07-11 20:00:00+00,hold,4,2
2026-07-11 21:00:00+00,error,1,0
2026-07-11 21:00:00+00,flat,3,3
2026-07-11 21:00:00+00,hold,4,4
2026-07-12 07:00:00+00,flat,4,4
2026-07-12 07:00:00+00,hold,6,1
2026-07-12 08:00:00+00,hold,20,0
2026-07-12 09:00:00+00,hold,19,3
2026-07-12 09:00:00+00,long,1,1
2026-07-12 10:00:00+00,hold,20,8
2026-07-12 11:00:00+00,hold,19,6
2026-07-12 11:00:00+00,long,1,1
2026-07-12 12:00:00+00,hold,17,12
2026-07-12 12:00:00+00,long,3,3
2026-07-12 13:00:00+00,hold,20,12
2026-07-12 14:00:00+00,flat,3,3
2026-07-12 14:00:00+00,hold,15,8
2026-07-12 14:00:00+00,long,2,2
2026-07-12 15:00:00+00,hold,19,0
2026-07-12 15:00:00+00,long,1,1
2026-07-12 16:00:00+00,hold,18,2
2026-07-12 16:00:00+00,long,2,2
2026-07-12 17:00:00+00,hold,20,10
2026-07-12 18:00:00+00,hold,20,0
2026-07-12 19:00:00+00,hold,20,5
2026-07-12 20:00:00+00,hold,20,5
2026-07-12 21:00:00+00,flat,2,2
2026-07-12 21:00:00+00,hold,18,4
2026-07-12 22:00:00+00,flat,7,7
2026-07-12 22:00:00+00,hold,13,1
2026-07-12 23:00:00+00,flat,4,4
2026-07-12 23:00:00+00,hold,17,5
2026-07-13 00:00:00+00,flat,3,3
2026-07-13 00:00:00+00,hold,16,13
