symbol,price,qty,fee_ccy,fee_amount,liquidity,venue_timestamp,source,ingested_at
LINK/USDT,8.307000000000000000,13.260000000000000000,USDT,0.110150820000000000,taker,1784484966417,rest_reconcile,2026-07-19 18:16:15.624991+00
AAVE/USDT,90.700000000000000000,0.935000000000000000,USDT,0.084804500000000000,maker,1784440188735,rest_reconcile,2026-07-19 05:49:55.585891+00
AAVE/USDT,90.700000000000000000,0.072000000000000000,USDT,0.006530400000000000,maker,1784440188735,rest_reconcile,2026-07-19 05:49:55.577382+00
BTC/USDT,64095.810000000000000000,0.001710000000000000,USDT,0.109603840000000000,taker,1784387702811,rest_reconcile,2026-07-18 15:15:08.150677+00
AAVE/USDT,88.920000000000000000,1.009000000000000000,AAVE,0.001009000000000000,maker,1784386818168,rest_reconcile,2026-07-18 15:00:20.51283+00
ZEC/USDT,558.530000000000000000,0.200000000000000000,USDT,0.111706000000000000,maker,1784386367066,rest_reconcile,2026-07-18 14:52:50.055558+00
ZEC/USDT,546.510000000000000000,0.200000000000000000,ZEC,0.000200000000000000,maker,1784379607062,rest_reconcile,2026-07-18 13:00:07.604752+00
BTC/USDT,64105.930000000000000000,0.001710000000000000,BTC,0.000001710000000000,maker,1784377062022,rest_reconcile,2026-07-18 12:17:43.988226+00
BTC/USDT,64025.000000000000000000,0.001550000000000000,USDT,0.099238750000000000,taker,1784375103706,rest_reconcile,2026-07-18 11:45:13.252359+00
BTC/USDT,63993.560000000000000000,0.001550000000000000,BTC,0.000001550000000000,maker,1784361670022,rest_reconcile,2026-07-18 08:01:18.138007+00
LINK/USDT,8.262000000000000000,13.270000000000000000,LINK,0.013270000000000000,maker,1784332530053,rest_reconcile,2026-07-17 23:55:37.5116+00
ZEC/USDT,554.820000000000000000,0.201000000000000000,USDT,0.111518820000000000,maker,1784307899006,rest_reconcile,2026-07-17 17:05:01.471187+00
ZEC/USDT,543.970000000000000000,0.201000000000000000,ZEC,0.000201000000000000,maker,1784303134064,rest_reconcile,2026-07-17 15:45:40.531752+00
SOL/USDT,73.730000000000000000,1.197000000000000000,USDT,0.088254810000000000,taker,1784294102520,rest_reconcile,2026-07-17 13:15:11.512174+00
ETH/USDT,1814.390000000000000000,0.043300000000000000,USDT,0.078563090000000000,taker,1784294103833,rest_reconcile,2026-07-17 13:15:11.047776+00
BTC/USDT,62817.370000000000000000,0.001410000000000000,USDT,0.088572490000000000,taker,1784294103743,rest_reconcile,2026-07-17 13:15:10.573756+00
ZEC/USDT,531.570000000000000000,0.147000000000000000,USDT,0.078140790000000000,taker,1784292303312,rest_reconcile,2026-07-17 12:45:11.650459+00
ZEC/USDT,536.010000000000000000,0.148000000000000000,ZEC,0.000148000000000000,maker,1784289710069,rest_reconcile,2026-07-17 12:01:50.205369+00
BTC/USDT,63270.340000000000000000,0.001410000000000000,BTC,0.000001410000000000,maker,1784289011528,rest_reconcile,2026-07-17 11:50:17.763085+00
SOL/USDT,74.870000000000000000,1.199000000000000000,SOL,0.001199000000000000,maker,1784288950158,rest_reconcile,2026-07-17 11:49:18.670923+00
ETH/USDT,1841.010000000000000000,0.043300000000000000,ETH,0.000043300000000000,maker,1784288949035,rest_reconcile,2026-07-17 11:49:18.181265+00
XRP/USDT,1.084100000000000000,79.700000000000000000,USDT,0.086402770000000000,taker,1784273403159,rest_reconcile,2026-07-17 07:30:07.871031+00
XRP/USDT,1.093600000000000000,38.100000000000000000,XRP,0.038100000000000000,maker,1784259053275,rest_reconcile,2026-07-17 03:30:54.330556+00
XRP/USDT,1.093600000000000000,18.900000000000000000,XRP,0.018900000000000000,maker,1784259053051,rest_reconcile,2026-07-17 03:30:54.325001+00
XRP/USDT,1.093600000000000000,22.800000000000000000,XRP,0.022800000000000000,maker,1784259025306,rest_reconcile,2026-07-17 03:30:34.367947+00
BTC/USDT,63797.990000000000000000,0.002110000000000000,USDT,0.134613760000000000,taker,1784248213023,rest_reconcile,2026-07-17 00:30:17.745139+00
XRP/USDT,1.086700000000000000,89.900000000000000000,USDT,0.097694330000000000,taker,1784247914362,rest_reconcile,2026-07-17 00:25:19.071348+00
BTC/USDT,64676.370000000000000000,0.002120000000000000,BTC,0.000002120000000000,maker,1784216739018,rest_reconcile,2026-07-16 15:45:40.20255+00
XRP/USDT,1.109400000000000000,90.000000000000000000,XRP,0.090000000000000000,maker,1784210641492,rest_reconcile,2026-07-16 14:04:10.008837+00
LINK/USDT,8.500000000000000000,12.030000000000000000,USDT,0.102255000000000000,maker,1784119921249,rest_reconcile,2026-07-15 22:25:31.622796+00
BTC/USDT,64523.990000000000000000,0.001730000000000000,USDT,0.111626500000000000,taker,1784100614551,rest_reconcile,2026-07-15 07:30:15.772714+00
SOL/USDT,77.490000000000000000,1.924000000000000000,USDT,0.149090760000000000,taker,1784100456010,rest_reconcile,2026-07-15 07:27:45.792822+00
ETH/USDT,1867.620000000000000000,0.072700000000000000,USDT,0.135775970000000000,taker,1784100432709,rest_reconcile,2026-07-15 07:27:15.046202+00
ETH/USDT,1887.950000000000000000,0.072800000000000000,ETH,0.000072800000000000,maker,1784096124033,rest_reconcile,2026-07-15 06:15:33.818869+00
BTC/USDT,64911.580000000000000000,0.001730000000000000,BTC,0.000001730000000000,maker,1784095246015,rest_reconcile,2026-07-15 06:00:53.116237+00
BTC/USDT,64719.390000000000000000,0.001730000000000000,USDT,0.111964540000000000,taker,1784079902616,rest_reconcile,2026-07-15 01:45:08.683047+00
ETH/USDT,1878.590000000000000000,0.059800000000000000,USDT,0.112339680000000000,taker,1784079003295,rest_reconcile,2026-07-15 01:30:08.914868+00
SOL/USDT,77.830000000000000000,1.926000000000000000,SOL,0.001926000000000000,maker,1784073660123,rest_reconcile,2026-07-15 00:01:08.188485+00
BTC/USDT,64704.820000000000000000,0.001730000000000000,BTC,0.000001730000000000,maker,1784065601369,rest_reconcile,2026-07-14 21:46:45.16944+00
ETH/USDT,1877.350000000000000000,0.059800000000000000,ETH,0.000059800000000000,maker,1784064904202,rest_reconcile,2026-07-14 21:35:05.478307+00
LINK/USDT,8.292000000000000000,11.050000000000000000,LINK,0.011050000000000000,maker,1784064767791,rest_reconcile,2026-07-14 21:32:56.817376+00
LINK/USDT,8.292000000000000000,1.000000000000000000,LINK,0.001000000000000000,maker,1784064750475,rest_reconcile,2026-07-14 21:32:36.809748+00
LINK/USDT,8.267000000000000000,15.610000000000000000,USDT,0.129047870000000000,maker,1784035260231,rest_reconcile,2026-07-14 13:21:06.415562+00
ETH/USDT,1817.650000000000000000,0.062600000000000000,USDT,0.113784890000000000,maker,1784032233631,rest_reconcile,2026-07-14 12:30:34.403217+00
LINK/USDT,7.987000000000000000,11.220000000000000000,LINK,0.011220000000000000,maker,1784030485147,rest_reconcile,2026-07-14 12:01:25.400741+00
LINK/USDT,7.987000000000000000,3.750000000000000000,LINK,0.003750000000000000,maker,1784030483703,rest_reconcile,2026-07-14 12:01:25.394333+00
LINK/USDT,7.987000000000000000,0.650000000000000000,LINK,0.000650000000000000,maker,1784030469535,rest_reconcile,2026-07-14 12:01:15.516932+00
ETH/USDT,1788.990000000000000000,0.062700000000000000,ETH,0.000062700000000000,maker,1784024440029,rest_reconcile,2026-07-14 10:20:42.483193+00
LINK/USDT,7.940000000000000000,10.910000000000000000,USDT,0.086625400000000000,taker,1783943134226,rest_reconcile,2026-07-13 11:45:40.748662+00
LINK/USDT,7.993000000000000000,10.920000000000000000,LINK,0.010920000000000000,maker,1783936923300,rest_reconcile,2026-07-13 10:02:06.803255+00
ETH/USDT,1802.320000000000000000,0.024600000000000000,USDT,0.044337070000000000,taker,1783908310446,rest_reconcile,2026-07-13 02:05:17.900778+00
SOL/USDT,76.730000000000000000,0.453000000000000000,USDT,0.034758690000000000,taker,1783907488819,rest_reconcile,2026-07-13 01:51:38.186816+00
ETH/USDT,1824.450000000000000000,0.024600000000000000,ETH,0.000024600000000000,taker,1783904410550,rest_reconcile,2026-07-13 01:00:16.778771+00
LINK/USDT,7.976000000000000000,5.550000000000000000,USDT,0.044266800000000000,taker,1783894500948,rest_reconcile,2026-07-12 22:15:08.084712+00
ETH/USDT,1802.300000000000000000,0.030000000000000000,USDT,0.054069000000000000,taker,1783894503458,rest_reconcile,2026-07-12 22:15:06.582688+00
BTC/USDT,63788.970000000000000000,0.000620000000000000,USDT,0.039549160000000000,taker,1783894502320,rest_reconcile,2026-07-12 22:15:06.096076+00
XRP/USDT,1.095700000000000000,40.900000000000000000,USDT,0.044814130000000000,taker,1783891808346,rest_reconcile,2026-07-12 21:30:17.088824+00
BTC/USDT,64144.680000000000000000,0.000620000000000000,BTC,0.000000620000000000,maker,1783873844022,rest_reconcile,2026-07-12 16:30:53.64492+00
ETH/USDT,1821.740000000000000000,0.016400000000000000,ETH,0.000016400000000000,maker,1783873835483,rest_reconcile,2026-07-12 16:30:44.131412+00
ETH/USDT,1821.740000000000000000,0.013700000000000000,ETH,0.000013700000000000,maker,1783873835483,rest_reconcile,2026-07-12 16:30:44.124796+00
LINK/USDT,8.080000000000000000,5.560000000000000000,LINK,0.005560000000000000,maker,1783868461048,rest_reconcile,2026-07-12 15:01:04.415909+00
LINK/USDT,8.016000000000000000,4.980000000000000000,USDT,0.039919680000000000,taker,1783865710707,rest_reconcile,2026-07-12 14:15:20.592043+00
BTC/USDT,63970.010000000000000000,0.000540000000000000,USDT,0.034543810000000000,taker,1783865709501,rest_reconcile,2026-07-12 14:15:18.597966+00
ETH/USDT,1804.540000000000000000,0.022100000000000000,USDT,0.039880330000000000,taker,1783865707845,rest_reconcile,2026-07-12 14:15:08.886355+00
SOL/USDT,77.070000000000000000,0.453000000000000000,SOL,0.000453000000000000,maker,1783860126837,rest_reconcile,2026-07-12 12:42:08.405908+00
XRP/USDT,1.098700000000000000,22.700000000000000000,XRP,0.022700000000000000,maker,1783858535323,rest_reconcile,2026-07-12 12:15:38.498956+00
XRP/USDT,1.098700000000000000,18.200000000000000000,XRP,0.018200000000000000,maker,1783858534130,rest_reconcile,2026-07-12 12:15:38.476374+00
BTC/USDT,63986.000000000000000000,0.000540000000000000,BTC,0.000000540000000000,maker,1783857737020,rest_reconcile,2026-07-12 12:02:18.630256+00
ETH/USDT,1805.140000000000000000,0.022100000000000000,ETH,0.000022100000000000,maker,1783856825030,rest_reconcile,2026-07-12 11:47:13.076137+00
LINK/USDT,8.017000000000000000,2.370000000000000000,LINK,0.002370000000000000,maker,1783850543052,rest_reconcile,2026-07-12 10:02:32.707986+00
LINK/USDT,8.017000000000000000,1.970000000000000000,LINK,0.001970000000000000,maker,1783850542075,rest_reconcile,2026-07-12 10:02:22.666984+00
LINK/USDT,8.017000000000000000,0.640000000000000000,LINK,0.000640000000000000,maker,1783850541685,rest_reconcile,2026-07-12 10:02:22.61508+00
ETH/USDT,1797.200000000000000000,0.027800000000000000,USDT,0.049962160000000000,taker,1783842308124,rest_reconcile,2026-07-12 07:45:09.609711+00
LINK/USDT,7.973000000000000000,5.610000000000000000,USDT,0.044728530000000000,taker,1783841423989,rest_reconcile,2026-07-12 07:30:31.007414+00
XRP/USDT,1.092100000000000000,40.600000000000000000,USDT,0.044339260000000000,taker,1783841408244,rest_reconcile,2026-07-12 07:30:10.376311+00
BTC/USDT,63865.450000000000000000,0.000700000000000000,USDT,0.044705820000000000,taker,1783841407713,rest_reconcile,2026-07-12 07:30:08.973997+00
SOL/USDT,76.530000000000000000,0.447000000000000000,USDT,0.034208910000000000,taker,1783840622560,rest_reconcile,2026-07-12 07:17:09.736728+00
SOL/USDT,78.040000000000000000,0.448000000000000000,SOL,0.000448000000000000,maker,1783759757140,rest_reconcile,2026-07-11 08:49:20.782017+00
BTC/USDT,64185.890000000000000000,0.000700000000000000,BTC,0.000000700000000000,maker,1783755849332,rest_reconcile,2026-07-11 07:44:09.754825+00
